GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
1500000US110010017022,110010017022,"Block Group 2, Census Tract 17.02, District of Columbia, District of Columbia",534,82,16,19,11,19,0,12,46,35,0,12,44,47,0,12,15,23,20,23,25,39,49,36,110,64,72,43,57,38,34,28,35,31
1500000US110010018031,110010018031,"Block Group 1, Census Tract 18.03, District of Columbia, District of Columbia",572,98,0,12,64,65,12,17,4,7,46,34,45,38,15,16,17,18,23,25,25,27,93,65,42,30,40,33,13,20,10,16,123,58
1500000US110010018032,110010018032,"Block Group 2, Census Tract 18.03, District of Columbia, District of Columbia",1033,112,102,53,41,51,77,64,97,64,67,43,42,51,79,55,0,12,74,56,89,49,94,44,173,81,76,59,0,12,0,12,22,23
1500000US110010018041,110010018041,"Block Group 1, Census Tract 18.04, District of Columbia, District of Columbia",582,136,0,12,0,12,63,63,77,68,0,12,22,25,29,37,94,80,37,41,66,58,8,12,68,67,27,26,48,37,27,29,16,17
1500000US110010018042,110010018042,"Block Group 2, Census Tract 18.04, District of Columbia, District of Columbia",509,114,75,66,17,13,31,28,10,16,59,47,17,28,7,13,30,28,0,12,12,16,52,37,98,84,64,64,0,12,0,12,37,37
1500000US110010018043,110010018043,"Block Group 3, Census Tract 18.04, District of Columbia, District of Columbia",944,151,86,65,25,30,41,41,73,59,94,69,36,46,36,57,66,61,32,42,101,80,122,85,70,52,84,69,7,12,33,31,38,30
1500000US110010019011,110010019011,"Block Group 1, Census Tract 19.01, District of Columbia, District of Columbia",380,93,36,49,17,19,37,39,6,10,17,19,27,21,18,14,0,12,13,17,0,12,16,18,69,57,58,53,9,16,30,43,27,44
1500000US110010019012,110010019012,"Block Group 2, Census Tract 19.01, District of Columbia, District of Columbia",392,99,15,24,6,9,38,46,7,12,0,12,8,13,11,14,31,41,4,11,0,12,87,62,97,70,48,27,12,14,17,28,11,16
1500000US110010019013,110010019013,"Block Group 3, Census Tract 19.01, District of Columbia, District of Columbia",369,91,57,56,0,12,0,12,39,42,0,12,33,38,0,12,6,10,14,16,15,17,39,29,74,51,37,31,15,19,30,23,10,13
1500000US110010019014,110010019014,"Block Group 4, Census Tract 19.01, District of Columbia, District of Columbia",251,65,14,13,0,12,6,10,7,10,0,12,0,12,29,39,30,28,0,12,7,12,36,27,63,53,0,12,17,14,9,14,33,27
